model,stack,seed,rmse,mae,smape
gru,go,0,0.04454,0.02045,200.0
gru,go,1,0.04454,0.02045,200.0
gru,go,2,0.15063,0.1099,150.54
gru,go,3,0.05722,0.0238,199.89
gru,go,4,0.04454,0.02045,200.0
gru,go,5,0.09573,0.04727,122.37
gru,go,6,0.04628,0.02159,198.55
gru,go,7,0.04454,0.02045,200.0
gru,go,8,0.04453,0.02041,198.75
gru,go,9,0.04454,0.02045,200.0
lstm,go,0,0.081,0.0278,199.46
lstm,go,1,0.14145,0.03573,199.73
lstm,go,2,0.15449,0.03836,198.62
lstm,go,3,0.3429,0.3244,179.88
lstm,go,4,0.07392,0.02602,199.93
lstm,go,5,0.1443,0.03731,198.97
lstm,go,6,0.08664,0.02822,199.38
lstm,go,7,0.07505,0.02663,199.23
lstm,go,8,0.16303,0.04006,198.99
lstm,go,9,0.10409,0.03087,199.6
xgboost,go,0,0.04861,0.01829,53.5
prophet,go,0,1.40989,1.40417,191.16
gru,rust,0,0.77623,0.43498,131.79
gru,rust,1,0.80134,0.40436,147.76
gru,rust,2,0.79589,0.37519,152.58
gru,rust,3,0.74038,0.36707,146.5
gru,rust,4,0.87459,0.48512,138.07
gru,rust,5,0.85279,0.47213,135.41
gru,rust,6,0.75397,0.37714,114.46
gru,rust,7,0.82237,0.42232,99.68
gru,rust,8,0.73537,0.37033,147.34
gru,rust,9,0.73457,0.36908,146.15
lstm,rust,0,0.83959,0.44857,131.23
lstm,rust,1,0.83838,0.41692,147.89
lstm,rust,2,0.84988,0.44334,114.93
lstm,rust,3,0.80151,0.39878,147.48
lstm,rust,4,0.87965,0.43852,149.95
lstm,rust,5,0.81873,0.40494,147.28
lstm,rust,6,0.83513,0.41889,148.36
lstm,rust,7,0.86201,0.45407,111.87
lstm,rust,8,0.82688,0.43817,125.06
lstm,rust,9,0.82422,0.44885,132.29
xgboost,rust,0,0.48004,0.19546,75.81
prophet,rust,0,1.80799,1.08883,181.53
gru,java,0,2.63043,1.07879,74.28
gru,java,1,2.13986,0.85943,82.72
gru,java,2,2.48204,1.03592,85.85
gru,java,3,2.72773,1.1469,151.32
gru,java,4,2.72316,1.14907,95.45
gru,java,5,2.6586,1.21458,112.7
gru,java,6,2.67742,1.11223,94.22
gru,java,7,2.78645,1.27324,110.12
gru,java,8,2.6705,1.12979,88.13
gru,java,9,2.21521,0.91706,88.16
lstm,java,0,3.03521,1.34011,144.89
lstm,java,1,2.78836,1.19537,135.27
lstm,java,2,2.80713,1.27686,102.51
lstm,java,3,2.68391,1.18713,81.18
lstm,java,4,2.75553,1.18208,115.31
lstm,java,5,2.99672,1.37979,88.49
lstm,java,6,2.60746,1.10691,113.38
lstm,java,7,2.83492,1.3519,114.04
lstm,java,8,2.83431,1.28006,91.28
lstm,java,9,2.71598,1.15428,110.59
xgboost,java,0,2.44237,1.0139,94.77
prophet,java,0,3.40459,1.96718,153.33
gru,node,0,0.86817,0.44486,140.76
gru,node,1,1.23674,0.64359,156.43
gru,node,2,1.00724,0.49432,83.17
gru,node,3,1.03959,0.57873,101.76
gru,node,4,1.03999,0.53569,76.03
gru,node,5,1.00052,0.47361,135.25
gru,node,6,1.02659,0.53891,150.82
gru,node,7,0.7688,0.39742,86.35
gru,node,8,0.97631,0.51926,150.59
gru,node,9,0.95785,0.50001,150.77
lstm,node,0,1.05175,0.54171,142.39
lstm,node,1,1.16997,0.62159,156.07
lstm,node,2,1.21677,0.65022,158.27
lstm,node,3,1.20722,0.63516,134.24
lstm,node,4,1.35265,0.71418,78.43
lstm,node,5,1.20476,0.60995,155.69
lstm,node,6,1.28856,0.68124,159.49
lstm,node,7,1.11975,0.63063,104.7
lstm,node,8,1.20131,0.62088,67.11
lstm,node,9,1.25566,0.64275,113.38
xgboost,node,0,0.81241,0.40996,38.37
prophet,node,0,1.89959,1.40375,152.95
