scenario,stack,model,seed,rmse,n_test
spike,go,gru,0,1.38027,6
spike,go,gru,1,0.78438,6
spike,go,gru,2,1.00127,6
spike,go,gru,3,1.19296,6
spike,go,gru,4,1.04073,6
spike,go,gru,5,1.14791,6
spike,go,gru,6,0.87541,6
spike,go,gru,7,0.78641,6
spike,go,gru,8,0.87523,6
spike,go,gru,9,1.27439,6
spike,go,lstm,0,0.9687,6
spike,go,lstm,1,1.01245,6
spike,go,lstm,2,1.03043,6
spike,go,lstm,3,1.31634,6
spike,go,lstm,4,1.48175,6
spike,go,lstm,5,1.08382,6
spike,go,lstm,6,1.0729,6
spike,go,lstm,7,1.17131,6
spike,go,lstm,8,1.0696,6
spike,go,lstm,9,1.35396,6
spike,go,xgboost,0,11.36205,7
spike,go,prophet,0,8.68847,7
spike,java,gru,0,0.93013,6
spike,java,gru,1,0.89669,6
spike,java,gru,2,0.91857,6
spike,java,gru,3,0.91868,6
spike,java,gru,4,0.89997,6
spike,java,gru,5,0.91738,6
spike,java,gru,6,0.91179,6
spike,java,gru,7,0.89678,6
spike,java,gru,8,0.91303,6
spike,java,gru,9,0.93033,6
spike,java,lstm,0,0.90384,6
spike,java,lstm,1,0.88798,6
spike,java,lstm,2,0.89397,6
spike,java,lstm,3,0.90562,6
spike,java,lstm,4,0.90219,6
spike,java,lstm,5,0.89928,6
spike,java,lstm,6,0.90293,6
spike,java,lstm,7,0.90031,6
spike,java,lstm,8,0.89335,6
spike,java,lstm,9,0.9223,6
spike,java,xgboost,0,7.28886,7
spike,java,prophet,0,6.93099,7
soak,go,gru,0,0.02858,6
soak,go,gru,1,0.05177,6
soak,go,gru,2,0.04434,6
soak,go,gru,3,0.04013,6
soak,go,gru,4,0.04039,6
soak,go,gru,5,0.05294,6
soak,go,gru,6,0.05014,6
soak,go,gru,7,0.04911,6
soak,go,gru,8,0.05113,6
soak,go,gru,9,0.04051,6
soak,go,lstm,0,0.04769,6
soak,go,lstm,1,0.04984,6
soak,go,lstm,2,0.04262,6
soak,go,lstm,3,0.04929,6
soak,go,lstm,4,0.04528,6
soak,go,lstm,5,0.05071,6
soak,go,lstm,6,0.0459,6
soak,go,lstm,7,0.05041,6
soak,go,lstm,8,0.05149,6
soak,go,lstm,9,0.05069,6
soak,go,xgboost,0,0.03652,7
soak,go,prophet,0,0.0345,7
soak,java,gru,0,0.02782,6
soak,java,gru,1,0.0535,6
soak,java,gru,2,0.04595,6
soak,java,gru,3,0.05059,6
soak,java,gru,4,0.04365,6
soak,java,gru,5,0.06896,6
soak,java,gru,6,0.0484,6
soak,java,gru,7,0.04662,6
soak,java,gru,8,0.05072,6
soak,java,gru,9,0.04732,6
soak,java,lstm,0,0.04895,6
soak,java,lstm,1,0.04915,6
soak,java,lstm,2,0.04684,6
soak,java,lstm,3,0.05593,6
soak,java,lstm,4,0.04633,6
soak,java,lstm,5,0.051,6
soak,java,lstm,6,0.05206,6
soak,java,lstm,7,0.05798,6
soak,java,lstm,8,0.05871,6
soak,java,lstm,9,0.04892,6
soak,java,xgboost,0,0.10527,7
soak,java,prophet,0,0.06371,7
stress,go,gru,0,8.37612,6
stress,go,gru,1,7.24784,6
stress,go,gru,2,6.99398,6
stress,go,gru,3,8.24369,6
stress,go,gru,4,8.07878,6
stress,go,gru,5,6.87958,6
stress,go,gru,6,6.03396,6
stress,go,gru,7,6.60715,6
stress,go,gru,8,7.32941,6
stress,go,gru,9,6.88417,6
stress,go,lstm,0,7.72109,6
stress,go,lstm,1,7.44301,6
stress,go,lstm,2,7.34031,6
stress,go,lstm,3,8.40214,6
stress,go,lstm,4,7.45547,6
stress,go,lstm,5,7.31441,6
stress,go,lstm,6,7.50195,6
stress,go,lstm,7,8.23397,6
stress,go,lstm,8,8.28723,6
stress,go,lstm,9,7.39284,6
stress,go,xgboost,0,12.25255,7
stress,go,prophet,0,1.47167,7
stress,java,gru,0,0.0602,6
